state,x,y
Andhra Pradesh,-126.0,-251.0
Arunachal Pradesh,407.0,247.0
Assam,342.0,163.0
Bihar,103.0,130.0
Chattisgarh,-17.0,-21.0
Chandigarh,-230.0,241.0
Goa,-313.0,-234.0
Gujrat,-376.0,45.0
Haryana,-215.0,244.0
Himachal Pradesh,-179.0,342.0
Jharkhand,96.0,54.0
Jammu & Kashmir,-199.0,436.0
Karnataka,-252.0,-266.0
Kerala,-229.0,-428.0
Madhya Pradesh,-157.0,31.0
Maharashtra,-230.0,-75.0
Manipur,398.0,110.0
Meghalaya,285.0,132.0
Mizoram,371.0,66.0
Nagaland,416.0,160.0
Odisha,74.0,-55.0
Punjab,-245.0,306.0
Rajasthan,-308.0,166.0
Sikkim,205.0,195.0
Tamil Nadu,-150.0,-395.0
Telangana,-127.0,-151.0
Tripura,322.0,72.0
Uttar Pradesh,-68.0,168.0
Uttarakhand,-112.0,277.0
West Bengal,189.0,39.0
Andaman & Nicobar Islands,400.0,-373.0
Lakshwadeep,-418.0,-386.0
Dadra & Nagar Haweli,-346.0,-43.0
Daman & Diu,-406.0,-43.0
Delhi,-183.0,224.0
Puducherry,-7.0,-192.0
